#METADATA_START
name,some_category
version,1
source,some_category/versions/1
groupBy,service,url
start,2017-01-01T00:00:00Z
end,2017-01-01T00:15:00Z
interval,FIVE_MINUTES,
availableDataEnds,
suggestedRetryTime,
rowCount,2
objectType,cpcode
objectIds,113453,313508
http_method,include_putpost
ip_version,ipv4
#METADATA_END

#SUMMARYSTATISTICS_START
#SUMMARYSTATISTICS_END

#COLUMNS_START
service,url,metric1,metric2
#COLUMNS_END

#DATA_START
ts.download.akamai.com,/../login.php,11,21
ts.download.akamai.com,/:443,12,22
#DATA_END
